Year	Terrorism	terrorist	oññupation	narcotic 	violation	democracy	development
2000	0		0	        0		0		0		0		0
2001	0		1		1		0		0		0		0  	           
2002	0		2		0		6		0		1		4		
2003	3		4		0		25		3		5		14
2004	29		20		5		21		12		27		38				
2005	99		9		38		97		302		169		8
2006	9		256		82		205		141		12		36
2007	30		10		109		272		17		32		275
2008	27		23		6		484		41		19		391
2009	41		42		284		565		35		46		405	
2010	220		398		17		1388		67		204		1251
2011	246		402		34		2795		99		428		1475
2012	420		1026		14		5049		1071		165		4357
2013	439		1108		41		6687		588		436		5098
2014	617		768		34		6433		566		256		6911
2015	228		290		6		1104		21		64		1179
	
